event_id,event_timestamp,user_id,anonymous_id,session_id,event_name,traffic_source,page_location,product_id,order_id,revenue,device_category
evt00001,2026-05-05 11:08:00,u008,anon_u008,s0001,session_start,organic_search,/collections/new,,,,mobile
evt00002,2026-05-05 11:14:00,u008,anon_u008,s0001,page_view,organic_search,/collections/bestsellers,,,,mobile
evt00003,2026-05-05 11:20:00,u008,anon_u008,s0001,purchase,organic_search,/product,,o0001,298.77,mobile
evt00004,2026-05-05 13:16:00,u015,anon_u015,s0002,session_start,social,/collections/bestsellers,,,,tablet
evt00005,2026-05-05 13:22:00,u015,anon_u015,s0002,page_view,social,/product,,,,tablet
evt00006,2026-05-05 13:28:00,u015,anon_u015,s0002,view_item,social,/product/p005,p005,,,tablet
evt00007,2026-05-05 13:34:00,u015,anon_u015,s0002,purchase,social,/checkout,,o0002,244.64,tablet
evt00008,2026-05-05 15:24:00,u022,anon_u022,s0003,session_start,email,/product,,,,desktop
evt00009,2026-05-05 15:30:00,u022,anon_u022,s0003,page_view,email,/cart,,,,desktop
evt00010,2026-05-05 15:36:00,u022,anon_u022,s0003,add_to_cart,email,/checkout,p007,,,desktop
evt00011,2026-05-05 15:42:00,u022,anon_u022,s0003,purchase,email,/account,,o0003,26.48,desktop
evt00012,2026-05-05 17:28:00,u029,anon_u029,s0004,session_start,direct,/cart,,,,mobile
evt00013,2026-05-05 17:34:00,u029,anon_u029,s0004,page_view,direct,/checkout,,,,mobile
evt00014,2026-05-05 17:40:00,u029,anon_u029,s0004,view_item,direct,/product/p009,p009,,,mobile
evt00015,2026-05-05 17:46:00,u029,anon_u029,s0004,purchase,direct,/,,o0004,191.60,mobile
evt00016,2026-05-05 19:36:00,u006,anon_u006,s0005,session_start,affiliate,/checkout,,,,tablet
evt00017,2026-05-05 19:42:00,u006,anon_u006,s0005,page_view,affiliate,/account,,,,tablet
evt00018,2026-05-05 19:48:00,u006,anon_u006,s0005,begin_checkout,affiliate,/,,,,tablet
evt00019,2026-05-05 19:54:00,u006,anon_u006,s0005,purchase,affiliate,/collections/new,,o0005,227.32,tablet
evt00020,2026-05-05 21:44:00,u013,anon_u013,s0006,session_start,paid_search,/account,,,,desktop
evt00021,2026-05-05 21:50:00,u013,anon_u013,s0006,page_view,paid_search,/,,,,desktop
evt00022,2026-05-05 21:56:00,u013,anon_u013,s0006,view_item,paid_search,/product/p013,p013,,,desktop
