order_item_id,order_id,product_id,quantity,unit_price,discount_amount
oi0001_1,o0001,p005,1,128.00,0.00
oi0001_2,o0001,p008,2,74.00,0.00
oi0002_1,o0002,p006,2,35.00,0.00
oi0002_2,o0002,p009,1,64.00,0.00
oi0002_3,o0002,p012,2,46.00,0.00
oi0003_1,o0003,p007,1,18.00,0.00
oi0004_1,o0004,p008,2,74.00,0.00
oi0004_2,o0004,p011,1,29.00,0.00
oi0005_1,o0005,p009,1,64.00,0.00
oi0005_2,o0005,p012,2,46.00,0.00
oi0005_3,o0005,p015,1,54.00,0.00
oi0006_1,o0006,p010,2,38.00,0.00
oi0007_1,o0007,p011,1,29.00,0.00
oi0007_2,o0007,p014,2,79.00,5.00
oi0008_1,o0008,p012,2,46.00,5.00
oi0008_2,o0008,p015,1,54.00,0.00
oi0008_3,o0008,p018,2,27.00,0.00
oi0009_1,o0009,p013,1,119.00,0.00
oi0010_1,o0010,p014,2,79.00,0.00
oi0010_2,o0010,p017,1,58.00,0.00
oi0011_1,o0011,p015,1,54.00,0.00
oi0011_2,o0011,p018,2,27.00,0.00
oi0011_3,o0011,p021,1,142.00,0.00
oi0012_1,o0012,p016,2,24.00,0.00
oi0013_1,o0013,p017,1,58.00,0.00
oi0013_2,o0013,p020,2,96.00,0.00
oi0014_1,o0014,p018,2,27.00,0.00
oi0014_2,o0014,p021,1,142.00,0.00
oi0014_3,o0014,p024,2,50.00,0.00
oi0015_1,o0015,p019,1,72.00,0.00
oi0016_1,o0016,p020,2,96.00,0.00
oi0016_2,o0016,p023,1,19.00,5.00
oi0017_1,o0017,p021,1,142.00,5.00
oi0017_2,o0017,p024,2,50.00,0.00
oi0017_3,o0017,p003,1,89.00,0.00
oi0018_1,o0018,p022,2,48.00,0.00
oi0019_1,o0019,p023,1,19.00,0.00
oi0019_2,o0019,p002,2,68.00,0.00
oi0020_1,o0020,p024,2,50.00,0.00
oi0020_2,o0020,p003,1,89.00,0.00
oi0020_3,o0020,p006,2,35.00,0.00
oi0021_1,o0021,p001,1,42.00,0.00
oi0022_1,o0022,p002,2,68.00,0.00
oi0022_2,o0022,p005,1,128.00,0.00
oi0023_1,o0023,p003,1,89.00,0.00
oi0023_2,o0023,p006,2,35.00,0.00
oi0023_3,o0023,p009,1,64.00,0.00
oi0024_1,o0024,p004,2,32.00,0.00
oi0025_1,o0025,p005,1,128.00,0.00
oi0025_2,o0025,p008,2,74.00,5.00
oi0026_1,o0026,p006,2,35.00,5.00
oi0026_2,o0026,p009,1,64.00,0.00
oi0026_3,o0026,p012,2,46.00,0.00
oi0027_1,o0027,p007,1,18.00,0.00
oi0028_1,o0028,p008,2,74.00,0.00
oi0028_2,o0028,p011,1,29.00,0.00
oi0029_1,o0029,p009,1,64.00,0.00
oi0029_2,o0029,p012,2,46.00,0.00
oi0029_3,o0029,p015,1,54.00,0.00
oi0030_1,o0030,p010,2,38.00,0.00
oi0031_1,o0031,p011,1,29.00,0.00
oi0031_2,o0031,p014,2,79.00,0.00
oi0032_1,o0032,p012,2,46.00,0.00
oi0032_2,o0032,p015,1,54.00,0.00
oi0032_3,o0032,p018,2,27.00,0.00
oi0033_1,o0033,p013,1,119.00,0.00
oi0034_1,o0034,p014,2,79.00,0.00
oi0034_2,o0034,p017,1,58.00,5.00
oi0035_1,o0035,p015,1,54.00,5.00
oi0035_2,o0035,p018,2,27.00,0.00
oi0035_3,o0035,p021,1,142.00,0.00
oi0036_1,o0036,p016,2,24.00,0.00
oi0037_1,o0037,p017,1,58.00,0.00
oi0037_2,o0037,p020,2,96.00,0.00
oi0038_1,o0038,p018,2,27.00,0.00
oi0038_2,o0038,p021,1,142.00,0.00
oi0038_3,o0038,p024,2,50.00,0.00
oi0039_1,o0039,p019,1,72.00,0.00
oi0040_1,o0040,p020,2,96.00,0.00
oi0040_2,o0040,p023,1,19.00,0.00
oi0041_1,o0041,p021,1,142.00,0.00
oi0041_2,o0041,p024,2,50.00,0.00
oi0041_3,o0041,p003,1,89.00,0.00
oi0042_1,o0042,p022,2,48.00,0.00
oi0043_1,o0043,p023,1,19.00,0.00
oi0043_2,o0043,p002,2,68.00,5.00
oi0044_1,o0044,p024,2,50.00,5.00
oi0044_2,o0044,p003,1,89.00,0.00
oi0044_3,o0044,p006,2,35.00,0.00
oi0045_1,o0045,p001,1,42.00,0.00
oi0046_1,o0046,p002,2,68.00,0.00
oi0046_2,o0046,p005,1,128.00,0.00
oi0047_1,o0047,p003,1,89.00,0.00
oi0047_2,o0047,p006,2,35.00,0.00
oi0047_3,o0047,p009,1,64.00,0.00
oi0048_1,o0048,p004,2,32.00,0.00
oi0049_1,o0049,p005,1,128.00,0.00
oi0049_2,o0049,p008,2,74.00,0.00
oi0050_1,o0050,p006,2,35.00,0.00
oi0050_2,o0050,p009,1,64.00,0.00
oi0050_3,o0050,p012,2,46.00,0.00
oi0051_1,o0051,p007,1,18.00,0.00
oi0052_1,o0052,p008,2,74.00,0.00
oi0052_2,o0052,p011,1,29.00,5.00
oi0053_1,o0053,p009,1,64.00,5.00
oi0053_2,o0053,p012,2,46.00,0.00
oi0053_3,o0053,p015,1,54.00,0.00
oi0054_1,o0054,p010,2,38.00,0.00
oi0055_1,o0055,p011,1,29.00,0.00
oi0055_2,o0055,p014,2,79.00,0.00
oi0056_1,o0056,p012,2,46.00,0.00
oi0056_2,o0056,p015,1,54.00,0.00
oi0056_3,o0056,p018,2,27.00,0.00
oi0057_1,o0057,p013,1,119.00,0.00
oi0058_1,o0058,p014,2,79.00,0.00
oi0058_2,o0058,p017,1,58.00,0.00
oi0059_1,o0059,p015,1,54.00,0.00
oi0059_2,o0059,p018,2,27.00,0.00
oi0059_3,o0059,p021,1,142.00,0.00
oi0060_1,o0060,p016,2,24.00,0.00
oi0061_1,o0061,p017,1,58.00,0.00
oi0061_2,o0061,p020,2,96.00,5.00
oi0062_1,o0062,p018,2,27.00,5.00
oi0062_2,o0062,p021,1,142.00,0.00
oi0062_3,o0062,p024,2,50.00,0.00
oi0063_1,o0063,p019,1,72.00,0.00
oi0064_1,o0064,p020,2,96.00,0.00
oi0064_2,o0064,p023,1,19.00,0.00
oi0065_1,o0065,p021,1,142.00,0.00
oi0065_2,o0065,p024,2,50.00,0.00
oi0065_3,o0065,p003,1,89.00,0.00
oi0066_1,o0066,p022,2,48.00,0.00
oi0067_1,o0067,p023,1,19.00,0.00
oi0067_2,o0067,p002,2,68.00,0.00
oi0068_1,o0068,p024,2,50.00,0.00
oi0068_2,o0068,p003,1,89.00,0.00
oi0068_3,o0068,p006,2,35.00,0.00
oi0069_1,o0069,p001,1,42.00,0.00
oi0070_1,o0070,p002,2,68.00,0.00
oi0070_2,o0070,p005,1,128.00,5.00
oi0071_1,o0071,p003,1,89.00,5.00
oi0071_2,o0071,p006,2,35.00,0.00
oi0071_3,o0071,p009,1,64.00,0.00
oi0072_1,o0072,p004,2,32.00,0.00
oi0073_1,o0073,p005,1,128.00,0.00
oi0073_2,o0073,p008,2,74.00,0.00
oi0074_1,o0074,p006,2,35.00,0.00
oi0074_2,o0074,p009,1,64.00,0.00
oi0074_3,o0074,p012,2,46.00,0.00
oi0075_1,o0075,p007,1,18.00,0.00
oi0076_1,o0076,p008,2,74.00,0.00
oi0076_2,o0076,p011,1,29.00,0.00
oi0077_1,o0077,p009,1,64.00,0.00
oi0077_2,o0077,p012,2,46.00,0.00
oi0077_3,o0077,p015,1,54.00,0.00
oi0078_1,o0078,p010,2,38.00,0.00
oi0079_1,o0079,p011,1,29.00,0.00
oi0079_2,o0079,p014,2,79.00,5.00
oi0080_1,o0080,p012,2,46.00,5.00
oi0080_2,o0080,p015,1,54.00,0.00
oi0080_3,o0080,p018,2,27.00,0.00
oi0081_1,o0081,p013,1,119.00,0.00
oi0082_1,o0082,p014,2,79.00,0.00
oi0082_2,o0082,p017,1,58.00,0.00
oi0083_1,o0083,p015,1,54.00,0.00
oi0083_2,o0083,p018,2,27.00,0.00
oi0083_3,o0083,p021,1,142.00,0.00
oi0084_1,o0084,p016,2,24.00,0.00
oi0085_1,o0085,p017,1,58.00,0.00
oi0085_2,o0085,p020,2,96.00,0.00
oi0086_1,o0086,p018,2,27.00,0.00
oi0086_2,o0086,p021,1,142.00,0.00
oi0086_3,o0086,p024,2,50.00,0.00
oi0087_1,o0087,p019,1,72.00,0.00
oi0088_1,o0088,p020,2,96.00,0.00
oi0088_2,o0088,p023,1,19.00,5.00
oi0089_1,o0089,p021,1,142.00,5.00
oi0089_2,o0089,p024,2,50.00,0.00
oi0089_3,o0089,p003,1,89.00,0.00
oi0090_1,o0090,p022,2,48.00,0.00
oi0091_1,o0091,p023,1,19.00,0.00
oi0091_2,o0091,p002,2,68.00,0.00
oi0092_1,o0092,p024,2,50.00,0.00
oi0092_2,o0092,p003,1,89.00,0.00
oi0092_3,o0092,p006,2,35.00,0.00
oi0093_1,o0093,p001,1,42.00,0.00
oi0094_1,o0094,p002,2,68.00,0.00
oi0094_2,o0094,p005,1,128.00,0.00
oi0095_1,o0095,p003,1,89.00,0.00
oi0095_2,o0095,p006,2,35.00,0.00
oi0095_3,o0095,p009,1,64.00,0.00
oi0096_1,o0096,p004,2,32.00,0.00
oi0097_1,o0097,p005,1,128.00,0.00
oi0097_2,o0097,p008,2,74.00,5.00
oi0098_1,o0098,p006,2,35.00,5.00
oi0098_2,o0098,p009,1,64.00,0.00
oi0098_3,o0098,p012,2,46.00,0.00
oi0099_1,o0099,p007,1,18.00,0.00
oi0100_1,o0100,p008,2,74.00,0.00
oi0100_2,o0100,p011,1,29.00,0.00
oi0101_1,o0101,p009,1,64.00,0.00
