order_id,user_id,order_timestamp,order_status,traffic_source,subtotal_amount,tax_amount,shipping_amount,discount_amount,total_revenue
o0001,u008,2026-05-05 14:26:00,delivered,email,276.00,22.77,0.00,0.00,298.77
o0002,u015,2026-05-05 18:37:00,shipped,direct,226.00,18.64,0.00,0.00,244.64
o0003,u022,2026-05-05 22:48:00,placed,affiliate,18.00,1.49,6.99,0.00,26.48
o0004,u029,2026-05-06 02:59:00,delivered,paid_search,177.00,14.60,0.00,0.00,191.60
o0005,u006,2026-05-06 07:10:00,delivered,organic_search,210.00,17.32,0.00,0.00,227.32
o0006,u013,2026-05-06 10:21:00,shipped,social,76.00,6.27,6.99,0.00,89.26
o0007,u020,2026-05-06 14:32:00,placed,email,187.00,15.02,0.00,5.00,197.02
o0008,u027,2026-05-06 18:43:00,delivered,direct,200.00,16.09,0.00,5.00,211.09
o0009,u004,2026-05-06 22:54:00,delivered,affiliate,119.00,9.82,0.00,0.00,128.82
o0010,u011,2026-05-07 03:05:00,shipped,paid_search,216.00,17.82,0.00,0.00,233.82
o0011,u018,2026-05-07 06:16:00,shipped,organic_search,250.00,20.62,0.00,0.00,270.62
o0012,u025,2026-05-07 10:27:00,delivered,social,48.00,3.96,6.99,0.00,58.95
o0013,u002,2026-05-07 14:38:00,delivered,email,250.00,19.80,0.00,10.00,259.80
o0014,u009,2026-05-07 18:49:00,shipped,direct,296.00,24.42,0.00,0.00,
o0015,u016,2026-05-07 23:00:00,placed,affiliate,72.00,5.94,6.99,0.00,84.93
o0016,u023,2026-05-08 03:11:00,delivered,paid_search,211.00,17.00,0.00,5.00,223.00
o0017,u030,2026-05-08 06:22:00,delivered,organic_search,331.00,26.89,0.00,5.00,352.89
o0018,u007,2026-05-08 10:33:00,shipped,social,96.00,7.92,6.99,0.00,110.91
o0019,u014,2026-05-08 14:44:00,placed,email,155.00,12.79,0.00,0.00,167.79
o0020,u021,2026-05-08 18:55:00,delivered,direct,259.00,21.37,0.00,0.00,280.37
o0021,u028,2026-05-08 23:06:00,delivered,affiliate,42.00,3.47,6.99,0.00,52.46
o0022,u005,2026-05-09 02:17:00,returned,paid_search,264.00,21.78,0.00,0.00,285.78
o0023,u012,2026-05-09 06:28:00,placed,organic_search,223.00,18.40,0.00,0.00,241.40
o0024,u019,2026-05-09 10:39:00,delivered,social,64.00,5.28,6.99,0.00,76.27
