user_id,created_at,country,acquisition_channel,lifecycle_stage,is_marketing_opted_in
u001,2026-04-28 08:00:00,CA,organic_search,active,true
u002,2026-04-25 08:00:00,GB,social,at_risk,true
u003,2026-04-22 08:00:00,DE,email,new,false
u004,2026-04-19 08:00:00,FR,direct,active,true
u005,2026-04-16 08:00:00,AU,affiliate,at_risk,true
u006,2026-04-13 08:00:00,SG,paid_search,new,false
u007,2026-04-10 08:00:00,JP,organic_search,active,true
u008,2026-04-07 08:00:00,NL,social,at_risk,true
u009,2026-04-04 08:00:00,SE,email,new,false
u010,2026-04-01 08:00:00,US,direct,active,true
u011,2026-03-29 08:00:00,CA,affiliate,at_risk,true
u012,2026-03-26 08:00:00,GB,paid_search,new,false
u013,2026-03-23 08:00:00,DE,organic_search,active,true
u014,2026-03-20 08:00:00,FR,social,at_risk,true
u015,2026-03-17 08:00:00,AU,email,new,false
u016,2026-03-14 08:00:00,SG,direct,active,true
u017,2026-03-11 08:00:00,JP,affiliate,at_risk,true
u018,2026-03-08 08:00:00,NL,paid_search,new,false
u019,2026-03-05 08:00:00,SE,organic_search,active,true
u020,2026-03-02 08:00:00,US,social,at_risk,true
u021,2026-02-27 08:00:00,CA,email,new,false
u022,2026-02-24 08:00:00,GB,direct,active,true
u023,2026-02-21 08:00:00,DE,affiliate,at_risk,true
u024,2026-02-18 08:00:00,FR,paid_search,new,false
u025,2026-02-15 08:00:00,AU,organic_search,active,true
u026,2026-02-12 08:00:00,SG,social,at_risk,true
u027,2026-02-09 08:00:00,JP,email,new,false
u028,2026-02-06 08:00:00,NL,direct,active,true
u029,2026-02-03 08:00:00,SE,affiliate,at_risk,true
u030,2026-01-31 08:00:00,US,paid_search,new,false
